
/
^.{5}$
/
gm
^ asserts position at start of a line
. matches any character (except for line terminators)
{5} matches the previous token exactly 5 times
$ asserts position at the end of a line
Global pattern flags 
g modifier: global. All matches (don't return after first match)
m modifier: multi line. Causes ^ and $ to match the begin/end of each line (not only begin/end of string)
12-17	abadi
119963-119968	sanak
119987-119992	sanca
119993-119998	sanda
120030-120035	sandi
120036-120041	sando
120055-120060	sanga
120324-120329	saraf
120330-120335	saran
120351-120356	sarat
120465-120470	saron
120490-120495	sasar
120533-120538	satai
120594-120599	satwa
120653-120658	sawah
120677-120682	sawan
120690-120695	sawar
120696-120701	sawat
120719-120724	sayap
120730-120735	sayur
120838-120843	sebab
120862-120867	sebar
121051-121056	sedan
121064-121069	sedap
121134-121139	sedia
121278-121283	segar
121372-121377	sehat
121396-121401	seibu
121516-121521	sejuk
121551-121556	sekam
121565-121570	sekar
121571-121576	sekat
121846-121851	selam
122147-122152	selir
122196-122201	selop
122202-122207	selot
122310-122315	semah
122316-122321	semak
122400-122405	semar
122414-122419	semat
122497-122502	semen
122686-122691	semir
122775-122780	semut
122795-122800	senam
122828-122833	sende
122834-122839	sendi
123099-123104	senja
123234-123239	sepah
123248-123253	sepak
123264-123269	sepan
123270-123275	sepat
123562-123567	sepit
123568-123573	sepoi
123592-123597	sepuh
123673-123678	serap
123679-123684	serat
123685-123690	serau
123827-123832	serbu
123996-124001	serta
124050-124055	serum
124098-124103	sesai
124104-124109	sesar
124110-124115	sesat
124199-124204	setan
124288-124293	setia
124305-124310	setik
124357-124362	setum
124536-124541	siaga
124572-124577	siang
124623-124628	siapa
124656-124661	siber
124673-124678	sibur
124709-124714	sidik
124715-124720	sifat
124759-124764	sihir
124765-124770	sikap
124778-124783	sikat
124914-124919	silap
124920-124925	silat
124937-124942	silih
125008-125013	silvi
125063-125068	simit
125204-125209	sinar
125246-125251	sinau
125358-125363	singa
125514-125519	sinse
125566-125571	sinus
125601-125606	sipat
125618-125623	sipil
125624-125629	sipit
125630-125635	siput
125636-125641	sirai
125642-125647	siram
125671-125676	sirih
125677-125682	sirik
125694-125699	sirip
125733-125738	sirop
125739-125744	sirus
125750-125755	sisik
125756-125761	sisir
125827-125832	siswa
125845-125850	sitae
125924-125929	skala
126019-126024	skrip
126057-126062	sluri
126095-126100	sodok
126144-126149	sogok
126157-126162	solar
126273-126278	sonde
126295-126300	sonok
126317-126322	sorak
126330-126335	sorot
126426-126431	sotto
126432-126437	souci
126651-126656	spion
126725-126730	spons
126761-126766	sport
126814-126819	staff
127308-127313	stres
127336-127341	strok
127362-127367	studi
127390-127395	suaka
127406-127411	suara
127423-127428	suasa
127441-127446	subak
127635-127640	subuh
127641-127646	subur
127666-127671	sudah
127677-127682	sudip
127697-127702	sudut
127703-127708	sufah
127714-127719	sujan
127725-127730	sukak
127731-127736	sukar
127737-127742	sukat
127754-127759	sukra
127765-127770	sulah
127779-127784	sulam
127862-127867	suluh
127868-127873	suluk
127945-127950	sumbi
127959-127964	sumbu
127985-127990	summa
128040-128045	sumur
128046-128051	sunah
128063-128068	sunda
128141-128146	sungu
128161-128166	sunti
128202-128207	super
128411-128416	supra
128469-128474	suram
128475-128480	surat
128540-128545	surut
128557-128562	surya
128588-128593	susah
128625-128630	susuk
128639-128644	susun
128653-128658	susur
128659-128664	sutra
128673-128678	suweg
128871-128876	syura
128887-128892	tabah
128893-128898	tabel
128910-128915	tabib
128916-128921	tabii
128922-128927	tabir
129000-129005	tadah
129052-129057	tahan
129066-129071	tahap
129089-129094	tahun
129103-129108	tajam
129125-129130	tajuk
129146-129151	takat
129273-129278	takik
129446-129451	taksi
129557-129562	takwa
129577-129582	talak
129583-129588	talam
129605-129610	talas
129669-129674	taman
129675-129680	tamat
129788-129793	tanah
129794-129799	tanak
129814-129819	tanam
129856-129861	tanat
129869-129874	tanda
129905-129910	tandu
130055-130060	tanpa
130070-130075	tanur
130076-130081	tanya
130096-130101	tapak
130102-130107	tapal
130119-130124	taram
130165-130170	tarek
130183-130188	tarif
130189-130194	tarik
130220-130225	taruh
130234-130239	tarum
130308-130313	tatal
130314-130319	tatap
130340-130345	tawaf
130368-130373	tawar
130437-130442	tebal
130443-130448	teban
130456-130461	tebar
130503-130508	tegak
130517-130522	tegap
130523-130528	tegar
130529-130534	tegur
130544-130549	tekak
130550-130555	tekan
130564-130569	tekat
130570-130575	teken
130676-130681	tekuk
130926-130931	telon
130943-130948	teluk
130949-130954	telum
130964-130969	telur
130978-130983	teman
131133-131138	tempa
131187-131192	tempe
131245-131250	tempo
131287-131292	tenda
131539-131544	tenis
131573-131578	tenun
131610-131615	teori
131638-131643	tepat
131660-131665	tepok
131666-131671	tepuk
131846-131851	terap
131886-131891	teras
134083-134088	teror
135465-135470	terup
135471-135476	terus
135567-135572	tetap
135573-135578	tetas
135579-135584	tetek
135596-135601	tetes
135618-135623	tetra
135684-135689	tiang
135695-135700	tidak
135715-135720	tidur
135775-135780	tikam
135795-135800	tikar
135801-135806	tiket
135807-135812	tikus
135813-135818	tilam
135819-135824	tilas
135848-135853	timah
135939-135944	timun
135959-135964	timur
135980-135985	tinea
136049-136054	tinju
136069-136074	tinta
136102-136107	tipis
136125-136130	tirai
136172-136177	tirus
136183-136188	titen
136189-136194	titik
136206-136211	titip
136267-136272	tobat
136290-136295	tohok
136333-136338	tokol
136386-136391	tolak
136406-136411	tolok
136434-136439	tomat
136506-136511	tonil
136548-136553	topan
136554-136559	topas
136597-136602	torak
136625-136630	total
137019-137024	trend
137092-137097	triko
137291-137296	troya
137326-137331	tuang
137372-137377	tubuh
137378-137383	tubus
137384-137389	tuduh
137405-137410	tufah
137411-137416	tugas
137429-137434	tujuh
137435-137440	tukak
137448-137453	tukar
137473-137478	tukul
137486-137491	tulah
137492-137497	tulak
137512-137517	tulen
137518-137523	tulis
137677-137682	tunai
137704-137709	tunam
137717-137722	tunas
137767-137772	tunda
137847-137852	tunik
137868-137873	tupai
137926-137931	turis
137939-137944	turun
138003-138008	tusuk
138014-138019	tutul
138020-138025	tutup
138034-138039	tutur
138080-138085	udang
138086-138091	udara
138092-138097	udeng
138112-138117	ujian
138118-138123	ujung
138165-138170	ulama
138176-138181	ulang
138354-138359	umban
138387-138392	umbuk
138393-138398	umker
138403-138408	umpak
138409-138414	umpan
138425-138430	undak
138485-138490	undur
138571-138576	union
138632-138637	unjuk
138646-138651	unsur
138709-138714	unyil
138755-138760	upaya
138771-138776	urang
138798-138803	urban
138872-138877	urung
138883-138888	urusy
138894-138899	usaha
138953-138958	utama
138964-138969	utang
138970-138975	utara
138995-139000	uwita
139151-139156	venir
139189-139194	verba
139246-139251	versa
139339-139344	vinil
139397-139402	virus
139461-139466	vitae
139478-139483	vital
139572-139577	vivre
139583-139588	vokal
139821-139826	wadak
139832-139837	wagon
139860-139865	wajah
139866-139871	wajar
139872-139877	wajib
139878-139883	wakil
139884-139889	waktu
139953-139958	wangi
140019-140024	warga
140025-140030	waris
140053-140058	warna
140059-140064	warta
140097-140102	wasit
140103-140108	watak
140120-140125	wawas
140126-140131	wayah
140168-140173	wesel
140174-140179	wetan
140256-140261	wiron
140269-140274	wisma
140303-140308	wolai
140360-140365	wrase
140382-140387	wuloh
140445-140450	yaman
140469-140474	yatim
140507-140512	yesus
140540-140545	yudha
140591-140596	zadah
140604-140609	zakar
140610-140615	zakat
140616-140621	zaman
140622-140627	zarah
140688-140693	zirah
Search reference
Search reference
^.{5}$
woku↵
wol↵
wolai↵
wolfram↵
wolsum↵
wondama↵
wong↵
workaholic↵
wotobu↵
wotu↵
wrase↵
wraspati↵
wujing↵
wuloh↵
wulu↵
wulusan↵
xantelesma↵
xenobiotik↵
xenoglosia↵
xerostomia↵
yaman↵
yarovisasi↵
yasmin↵
yatim↵
yaumuljaza↵
yaumulmahsyar↵
yenimu↵
yesus↵
yogyakarta↵
yohano↵
yongango↵
yudha↵
yunani↵
yupa↵
yuridis↵
yurisdiksi↵
yurisprudensi↵
zadah↵
zaitun↵
zakar↵
zakat↵
zaman↵
zarah↵
zat↵
zati↵
zeaksantin↵
zie↵
zilpaterol↵
zimi↵
zink↵
zinkografi↵
zip↵
zirah↵
zoidiofoli↵
zoidiogami↵
zona↵
zonakolpat

14557:1
Success (2.24ms)
a-beta↵
abad↵
↵
abahan↵
abakus↵
abal↵
abalalu↵
abam↵
abar↵
abdi↵
abdusen↵
abioseston↵
abir↵
↵
↵
ablasi↵
ablatif↵
abrasi↵
abrit-abritan↵
↵
absolut↵
absorbsi↵
absorptans↵
absorptivitas↵
abstinensi↵
absurd↵
absurdisme↵
absurditas↵
abu↵
abuh↵
acak↵
acapkali↵
↵
accompli↵
aceh↵
aci-acinya↵
↵
acuh↵
ad↵
ada-adanya↵
ada-adanyakah
1:1

abadi
abiti
abjad
abses
acara
acuan
aduan
afiks
agama
ageng
agung
ahutu
ajaib
ajang
ajara
ajeng
akaid
akbar
akhir
aking
aksep
akses
aktif
aktor
akuan
al-ab
alami
alang
alari
allah
amalo
amang
amato
ambah
ambar
amber
ambik
ambil
ambin
ambon
ambuh
amino
among
amorf
ampai
ampat
amril
ancak
andai
andap
aneka
angan
angin
angit
angka
anglo
angsa
angus
anjak
antar
anyam
aorta
apkir
apnea
apung
arang
arkus
aroma
arsip
artis
arwah
askot
aspek
aster
atlet
audio
audit
auger
babak
babat
bacem
badai
badak
badal
badan
badar
badui
badut
bagai
bagan
bahan
bahar
bahas
baiti
bajak
bajul
bakal
bakar
bakas
bakat
bakau
bakda
bakit
bakti
bakul
balai
balam
balas
balek
balig
balik
balin
balok
balon
bambu
banar
banda
bando
bantu
banya
bapak
bapra
barah
barak
baran
barat
baris
barli
barut
basah
basal
batak
batal
batas
batik
batil
batin
batis
batuk
baung
bawah
bawal
bawat
bayam
bayan
bayar
bayur
beban
bebas
becak
bedah
bedak
bedil
bedol
behel
bekas
bekti
belah
belas
belek
belia
belit
belut
benam
benda
benih
benua
beras
berat
beres
berok
besan
besar
beser
besok
betis
beton
betul
biala
biang
biasa
biaya
bibir
bidai
bidal
bidan
bidik
biduk
bijak
bijih
bilih
bilik
biner
biola
biota
bisuh
bisul
biuku
blalo
blong
blora
bobak
bobar
bobor
bobot
bocil
bocok
bodoh
bodot
bogas
bokor
boleh
bolok
bolon
bondo
bonet
bonus
boole
boroh
borom
bosik
botol
botor
boyut
brana
brata
brati
braya
broca
brutu
buang
buaya
bubuk
bubul
bubur
bubus
bugil
buhul
bujuk
bujur
bukan
bukit
bukti
bulan
bular
bulat
buluh
bulus
bumbu
bumil
bunda
bunga
buntu
bunyi
burak
buram
buras
burat
bursa
buruh
buruk
busuk
busur
cabai
cabak
cacah
cacar
cacat
cadar
cadas
cagak
cagar
cakap
cakar
cakup
calir
calla
calon
caluk
camok
campa
canai
canda
candi
candu
carik
carpe
carte
catur
causa
cawan
cecak
cegah
cekat
cekel
celah
celup
cemas
cemat
cepat
ceper
cerai
cerap
cerca
cerek
cerna
cetak
cetok
cheng
cikar
cilik
cinta
cipta
cirit
citra
civic
civri
cloze
cobek
cocok
cogan
cokek
coksu
crash
cream
crede
cross
cuaca
cucut
cukai
cukup
cukur
culpa
cumbu
cupak
curah
dabus
dacin
dadak
dadap
dadar
dagun
dahak
dahan
dahes
dakwa
dalam
dalem
dalil
damai
damar
damas
danau
dandi
danga
dangu
daong
dapat
dapur
darah
darat
dasar
dasun
datar
dawai
dayak
debit
debus
degan
dekat
delik
delis
demam
denah
denak
denda
denge
depan
depok
derap
deras
derau
derbi
derek
deret
detak
detus
dewan
dewar
didik
didum
dieng
diksi
dikte
dinas
dirma
ditto
dohur
dokan
dolar
dolma
domba
dosen
dosis
dowel
drama
druwe
duduk
dukun
dumbo
dunia
duren
edema
edisi
ehomo
ejaan
elang
elpek
embel
embun
embus
emosi
empat
empok
empuk
encek
encer
encok
endah
endap
engel
entri
enzim
ereng
erosi
eskro
esong
estat
etawa
etno-
faber
facto
faire
fajar
falak
falik
fardu
fasdu
femme
fenol
fiber
fikih
fiksi
finis
fisik
fitat
fluks
flynn
fobia
fokus
folat
folik
force
fores
fotik
fovea
frape
freud
froid
fukin
fulut
gabar
gabus
gadai
gadap
gadis
gaduh
gagah
gagak
gagal
gajah
galah
galat
galop
galur
gamat
gamit
ganas
ganda
ganjo
ganti
gapai
garam
garis
garpu
garuk
garut
garwa
gasal
gatal
gatik
gatra
gawai
gawat
gayan
gayar
gebal
gebel
gegak
gegap
gegar
gelak
gelam
gelap
gelar
gelas
gelok
gelut
geman
gempa
gempi
gemuk
genap
genta
gente
gerai
gerak
geram
gerau
gerep
gerga
gerha
gesek
geser
geste
getah
getar
giduh
gigit
gilir
ginek
ginem
ginto
giral
gitar
gobar
gobek
godek
gogah
golek
goods
gosok
gotat
grago
graha
grand
griya
groto
gubai
gubal
gudeg
gugur
gugus
gulai
gulen
gurat
gurih
gurun
gusti
habis
hadat
hadis
hajat
hakim
hakul
halal
halus
halwa
hamba
hamil
hantu
hapus
haram
harap
harga
harta
hasil
hatta
haute
hayat
henle
henti
hepar
hewan
hibah
hidro
hidup
hijau
hilir
hindu
hisab
hitam
horor
hotel
hujan
hukum
humat
humus
huruf
hutan
ideal
ifrad
ihram
iklan
iklim
iloni
imbal
impor
inang
indra
induk
infra
ingat
inggu
ingin
injak
injil
insan
intai
intan
inter
ionik
irama
ireng
istri
jadah
jadid
jagat
jahat
jahil
jahit
jajan
jaket
jaksi
jalak
jalan
jalur
jambe
jambu
jamur
janda
janin
janji
janti
jarah
jarak
jaran
jarik
jarum
jatuh
jawab
jejak
jelak
jenis
jenuh
jepit
jepun
jerat
jerih
jeruk
jerum
jevon
jilid
jinem
jitah
jodoh
joglo
jotos
juang
jubah
judul
juita
jujur
jukut
jumpa
junta
jurai
kabar
kabel
kabin
kabir
kabul
kabur
kabut
kacau
kacer
kacip
kadas
kader
kadim
kadut
kafan
kafir
kaget
kahar
kakab
kakai
kakak
kakap
kakas
kalah
kalam
kalau
kalbu
kalis
kalor
kamar
kamus
kanal
kanan
kando
kanta
kapai
kapak
kapal
kapar
kapas
kapuk
kapur
karan
karat
karet
kargo
karib
kartu
karun
karya
kasai
kasar
kasat
kaset
kasih
kasur
kasus
kasut
katai
katak
katik
katun
katup
kawak
kawal
kawan
kawat
kawin
kayan
kayuh
kebat
kebul
kebun
kecap
kecek
kecik
kecil
kecut
kedai
kedak
kejap
kejat
kekal
kekam
kekat
keket
kekok
kelam
kelas
kelat
kelim
kelip
kemas
kemih
kempa
kepal
kepik
kepok
kerah
kerak
keran
kerap
keras
kerek
kerik
keris
kerja
keruh
keruk
kerut
ketam
ketan
ketat
keter
ketua
ketuk
kibas
kidal
kidul
kijil
kikir
kilan
kilat
kilau
kilen
kilir
kimia
kipas
kipat
kiran
kirna
kista
kitab
klaim
klien
klise
kobok
kobra
kodal
kodok
kofte
kokas
kokat
koksi
kolam
kolar
kolek
kolom
kolot
kombo
komik
konon
kopak
koral
koran
koros
korus
kotak
kotok
kotor
koyok
krama
krida
kriya
kuali
kuasa
kuasi
kubah
kubik
kubis
kubur
kubus
kuduk
kudus
kukus
kukut
kulat
kulit
kuman
kumba
kumuh
kumur
kunci
kunut
kuoka
kupas
kupat
kurap
kuras
kurma
kursi
kurus
kurva
kusam
kusen
kusut
kutil
kutub
kutuk
kyrie
label
labuh
laesa
lagak
lahan
lahar
lahir
lajak
laken
lakon
lakur
lalai
lalat
lamba
lampu
lanar
lanny
lapak
lapis
larak
laras
larat
larik
laris
larva
lasak
laser
lasik
latar
laten
latih
latin
lawak
lawan
lawas
layah
layak
layar
layuh
lebah
lebam
lebar
lebih
lebur
ledak
legit
leher
lekas
lekat
lekuk
lelah
lelas
lemah
lemak
lemas
lembu
lemon
lensa
lepas
lerak
lerap
letak
leter
letih
lewat
liang
libur
licin
lidah
lihat
likur
lilin
lilit
liman
limau
limpa
lipan
lipas
lipat
lipit
liris
lisan
liung
liwet
lobus
locus
lodan
logam
lokal
lokus
lolos
loron
lotre
loyar
luban
lubuk
lukis
lulai
lumbu
lumut
lunak
lunas
lunau
lupuk
lupus
lurik
luruh
lurus
lusuh
lutut
maani
mabar
mabuk
macam
macan
madya
mafia
mahal
majal
majir
makam
makan
makna
makro
malai
malam
malas
malat
mamak
mandi
manik
manis
manja
manti
manuk
mapan
marak
masak
masam
masih
masir
massa
masuk
mater
maung
mawai
mawar
mawas
mawon
mayat
mayor
mbaru
medan
media
medis
mekah
memar
meneg
meong
merah
merak
merek
merih
mesin
meter
mijen
mikro
milik
mimpi
minat
minor
minta
minum
mipan
mirat
misal
misan
mitra
mobil
modal
modem
modul
modus
momen
monde
moral
morse
mosso
motor
muara
mudah
mudik
mulas
mules
mulsa
mulut
murah
murai
murid
murka
murni
music
musik
musim
musuh
nafar
nafsu
nagan
nahar
nahas
nakal
nanah
nanas
nanti
napas
nasab
nasal
nasib
natal
navis
nazar
nenas
nenek
niaga
nifas
nikah
nilai
nilon
nisan
nobat
nobis
nomen
nomor
norma
novus
nujum
nuwun
nyari
nyata
nyawa
nyeri
nyiur
obeng
objek
obyok
oleat
ombak
opini
opium
optis
orang
organ
orkes
ovari
pacar
pacat
pacet
padan
padas
padat
padri
pagar
paham
pahat
pahit
pajak
pakai
paket
pakis
paksi
palak
palas
palat
palem
palma
palsu
pamor
panah
panas
panda
pandu
panel
panen
panji
panta
papan
parah
paras
paris
parsi
paruh
pasak
pasal
pasar
pasif
pasir
passu
pasta
pasti
patah
paten
patol
patri
pawai
payah
pecah
pecut
pedih
pegas
pegun
pekak
pekan
pekat
pelat
pelet
pelir
pelor
peluh
peluk
penak
penat
penuh
perah
perak
peran
perdu
pergi
peria
perlu
perum
perun
perut
pesak
pesan
pesat
peseh
pesta
petai
petak
petik
petir
petis
petus
piano
piara
piatu
pidie
pidit
pihak
pijar
pijat
piket
pikir
pilih
pilin
pinak
pintu
pipih
pipit
pirus
pisah
pisau
pitam
pitar
pivot
pohon
point
pojok
poket
pokok
polah
polis
polos
pompa
popok
popor
porak
porno
porok
poros
praja
premi
prima
primi
puasa
puber
pucat
pucuk
puisi
pujuk
pukal
pukat
pukis
pukul
pulas
pulau
pulpa
puluh
pulut
punar
punca
punta
pupuh
pupuk
pupur
puput
purba
purwa
pusar
pusat
puseh
puspa
putar
putat
putih
putik
putra
putri
putus
puyuh
rabit
rabun
racun
radar
raden
radin
radio
radom
ragam
ragil
rahat
rahim
rajah
rajet
rajut
raket
rakit
ralat
ramah
ramal
rambu
rames
ranah
ranau
rancu
rapat
rapel
rapor
rapot
rapuh
rasio
ratap
ratna
rawan
rawas
rawat
rawon
rayap
reban
rebut
receh
redup
rekor
reksa
renik
repuh
resah
resam
resep
reses
resmi
retak
rezim
riang
riben
riche
rimba
rindu
ripta
riset
roboh
rokan
roket
rokok
rolet
roman
rompi
rotan
rotor
ruang
rucah
rujak
rukun
rumah
rumus
rurut
rusak
rutin
sabak
saban
saben
sabit
sabuk
sabun
sabut
sadap
safar
safir
sagir
saham
saing
sajak
sakal
sakat
sakit
saksi
sakti
salah
salai
salak
salam
salat
saldo
saleh
salik
salju
salsa
salto
samak
samar
samin
sanak
sanca
sanda
sandi
sando
sanga
saraf
saran
sarat
saron
sasar
satai
satwa
sawah
sawan
sawar
sawat
sayap
sayur
sebab
sebar
sedan
sedap
sedia
segar
sehat
seibu
sejuk
sekam
sekar
sekat
selam
selir
selop
selot
semah
semak
semar
semat
semen
semir
semut
senam
sende
sendi
senja
sepah
sepak
sepan
sepat
sepit
sepoi
sepuh
serap
serat
serau
serbu
serta
serum
sesai
sesar
sesat
setan
setia
setik
setum
siaga
siang
siapa
siber
sibur
sidik
sifat
sihir
sikap
sikat
silap
silat
silih
silvi
simit
sinar
sinau
singa
sinse
sinus
sipat
sipil
sipit
siput
sirai
siram
sirih
sirik
sirip
sirop
sirus
sisik
sisir
siswa
sitae
skala
skrip
sluri
sodok
sogok
solar
sonde
sonok
sorak
sorot
sotto
souci
spion
spons
sport
staff
stres
strok
studi
suaka
suara
suasa
subak
subuh
subur
sudah
sudip
sudut
sufah
sujan
sukak
sukar
sukat
sukra
sulah
sulam
suluh
suluk
sumbi
sumbu
summa
sumur
sunah
sunda
sungu
sunti
super
supra
suram
surat
surut
surya
susah
susuk
susun
susur
sutra
suweg
syura
tabah
tabel
tabib
tabii
tabir
tadah
tahan
tahap
tahun
tajam
tajuk
takat
takik
taksi
takwa
talak
talam
talas
taman
tamat
tanah
tanak
tanam
tanat
tanda
tandu
tanpa
tanur
tanya
tapak
tapal
taram
tarek
tarif
tarik
taruh
tarum
tatal
tatap
tawaf
tawar
tebal
teban
tebar
tegak
tegap
tegar
tegur
tekak
tekan
tekat
teken
tekuk
telon
teluk
telum
telur
teman
tempa
tempe
tempo
tenda
tenis
tenun
teori
tepat
tepok
tepuk
terap
teras
teror
terup
terus
tetap
tetas
tetek
tetes
tetra
tiang
tidak
tidur
tikam
tikar
tiket
tikus
tilam
tilas
timah
timun
timur
tinea
tinju
tinta
tipis
tirai
tirus
titen
titik
titip
tobat
tohok
tokol
tolak
tolok
tomat
tonil
topan
topas
torak
total
trend
triko
troya
tuang
tubuh
tubus
tuduh
tufah
tugas
tujuh
tukak
tukar
tukul
tulah
tulak
tulen
tulis
tunai
tunam
tunas
tunda
tunik
tupai
turis
turun
tusuk
tutul
tutup
tutur
udang
udara
udeng
ujian
ujung
ulama
ulang
umban
umbuk
umker
umpak
umpan
undak
undur
union
unjuk
unsur
unyil
upaya
urang
urban
urung
urusy
usaha
utama
utang
utara
uwita
venir
verba
versa
vinil
virus
vitae
vital
vivre
vokal
wadak
wagon
wajah
wajar
wajib
wakil
waktu
wangi
warga
waris
warna
warta
wasit
watak
wawas
wayah
wesel
wetan
wiron
wisma
wolai
wrase
wuloh
yaman
yatim
yesus
yudha
zadah
zakar
zakat
zaman
zarah
zirah
